tailnum,manufacturer,issue_date,model,aircraft_type,engine_type,year
N296WN,BOEING,11/14/2007,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,2007
N29717,BOEING,1/26/1999,737-724,Fixed Wing Multi-Engine,Turbo-Jet,1999
N297AA,MCDONNELL DOUGLAS,3/10/1986,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,1985
N297SW,EMBRAER,3/22/2004,EMB-120ER,Fixed Wing Multi-Engine,Turbo-Prop,1996
N297WN,BOEING,11/21/2007,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,2007
N298AA,MCDONNELL DOUGLAS,3/10/1986,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,1985
N298AE,SAAB-SCANIA,5/15/1998,SAAB 340B,Fixed Wing Multi-Engine,Turbo-Prop,0
N298SW,EMBRAER,3/22/2004,EMB-120ER,Fixed Wing Multi-Engine,Turbo-Prop,1996
N29906,EMBRAER,5/29/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2001
N29917,EMBRAER,4/19/2001,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2001
N299AT,BOEING,10/18/2006,737-76N,Fixed Wing Multi-Engine,Turbo-Fan,2006
N299SW,EMBRAER,5/20/1997,EMB-120ER,Fixed Wing Multi-Engine,Turbo-Prop,1997
N300AT,BOEING,12/11/2006,737-7BD,Fixed Wing Multi-Engine,Turbo-Fan,2006
N300SW,BOEING,12/18/1984,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1984
N301NB,AIRBUS INDUSTRIE,12/22/1999,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,1999
N301SW,BOEING,1/10/1985,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1984
N301UA,BOEING,11/14/1986,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1986
N301US,AIRBUS INDUSTRIE,8/1/1989,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1989
N301YV,EMBRAER,4/9/2001,EMB-120ER,Fixed Wing Multi-Engine,Turbo-Prop,1995
N302AS,BOEING,4/30/2003,737-990,Fixed Wing Multi-Engine,Turbo-Jet,2003
N302AW,BOEING,6/27/1997,737-3G7,Fixed Wing Multi-Engine,Turbo-Jet,1988
N302NB,AIRBUS INDUSTRIE,12/22/1999,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,1999
N302SW,BOEING,1/10/1985,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1984
N302UA,BOEING,1/9/1987,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1986
N303AS,BOEING,6/26/2001,737-990,Fixed Wing Multi-Engine,Turbo-Jet,2001
N303AW,BOEING,1/23/2002,737-3G7,Fixed Wing Multi-Engine,Turbo-Jet,1988
N303SW,BOEING,5/6/1985,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1985
N303UA,BOEING,1/16/1987,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1986
N303US,AIRBUS INDUSTRIE,9/7/1989,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1989
N30401,BOEING,5/30/2001,737-924,Fixed Wing Multi-Engine,Turbo-Fan,2001
N304AE,SAAB-SCANIA,5/18/1998,SAAB 340B,Fixed Wing Multi-Engine,Turbo-Prop,1992
N304SW,BOEING,9/14/1985,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1985
N304UA,BOEING,2/6/1987,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1987
N304US,AIRBUS INDUSTRIE,9/5/1989,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1989
N305AS,BOEING,5/17/2001,737-990,Fixed Wing Multi-Engine,Turbo-Jet,2001
N305AW,BOEING,9/14/2000,737-3G7,Fixed Wing Multi-Engine,Turbo-Jet,1988
N305SW,BOEING,9/18/1985,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1985
N305UA,BOEING,2/10/1987,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1987
N305US,AIRBUS INDUSTRIE,8/1/1989,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1989
N306AS,BOEING,5/24/2001,737-990,Fixed Wing Multi-Engine,Turbo-Jet,2001
N306AW,BOEING,2/28/2006,737-3G7,Fixed Wing Multi-Engine,Turbo-Jet,1990
N306SW,BOEING,10/11/1985,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1985
N306UA,BOEING,2/19/1987,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1987
N307AS,BOEING,5/30/2001,737-990,Fixed Wing Multi-Engine,Turbo-Jet,2001
N307AT,BOEING,12/5/2006,737-7BD,Fixed Wing Multi-Engine,Turbo-Fan,2006
N307AW,BOEING,9/28/2005,737-3G7,Fixed Wing Multi-Engine,Turbo-Jet,1990
N307SW,BOEING,6/27/2005,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1985
N307UA,BOEING,3/10/1987,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1987
N308AT,BOEING,12/13/2006,737-7BD,Fixed Wing Multi-Engine,Turbo-Fan,2006
N308AW,BOEING,9/28/2005,737-3G7,Fixed Wing Multi-Engine,Turbo-Jet,1990
N308SA,BOEING,3/30/1999,737-3Y0,Fixed Wing Multi-Engine,Turbo-Fan,1986
N308SW,EMBRAER,12/5/2005,EMB-120ER,Fixed Wing Multi-Engine,Turbo-Prop,1997
N308UA,BOEING,3/27/1987,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1987
N309AS,BOEING,7/30/2001,737-990,Fixed Wing Multi-Engine,Turbo-Jet,2001
N309AT,BOEING,1/24/2007,737-7BD,Fixed Wing Multi-Engine,Turbo-Fan,2006
N309AW,BOEING,9/28/2005,737-3G7,Fixed Wing Multi-Engine,Turbo-Jet,1990
N309SW,BOEING,6/27/2005,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1985
N309UA,BOEING,4/16/1987,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1987
N309US,AIRBUS INDUSTRIE,5/23/2006,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1990
N310NW,AIRBUS INDUSTRIE,5/23/2006,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1990
N310SW,BOEING,1/13/1986,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1985
N310UA,BOEING,5/12/1987,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1987
N31131,EMBRAER,4/9/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2003
N311AT,BOEING,2/1/2007,737-7BD,Fixed Wing Multi-Engine,Turbo-Fan,2006
N311AW,BOEING,2/28/2006,737-3G7,Fixed Wing Multi-Engine,Turbo-Jet,1990
N311SW,BOEING,3/21/1986,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1986
N311UA,BOEING,1/14/1988,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1987
N311US,AIRBUS INDUSTRIE,11/13/1990,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1990
N312AT,BOEING,2/6/2007,737-7BD,Fixed Wing Multi-Engine,Turbo-Fan,2006
N312SW,BOEING,3/24/1986,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1986
N312UA,BOEING,6/21/2004,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1987
N312US,AIRBUS INDUSTRIE,10/20/2004,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1990
N313AT,BOEING,2/9/2007,737-7BD,Fixed Wing Multi-Engine,Turbo-Fan,2007
N313AW,BOEING,11/7/1990,737-3S3,Fixed Wing Multi-Engine,Turbo-Fan,1987
N313SW,BOEING,3/27/1986,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1986
N313UA,BOEING,1/14/1988,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1987
N313US,AIRBUS INDUSTRIE,9/21/2004,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1990
N31412,BOEING,4/16/2002,737-924,Fixed Wing Multi-Engine,Turbo-Fan,2002
N314AW,BOEING,11/21/1990,737-3S3,Fixed Wing Multi-Engine,Turbo-Fan,1987
N314NB,AIRBUS INDUSTRIE,3/20/2000,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2000
N314SW,BOEING,4/20/1992,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1986
N314UA,BOEING,1/20/1988,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1987
N314US,AIRBUS INDUSTRIE,9/22/2004,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1991
N315AS,BOEING,10/2/2002,737-990,Fixed Wing Multi-Engine,Turbo-Jet,2002
N315AT,BOEING,3/16/2007,737-7BD,Fixed Wing Multi-Engine,Turbo-Fan,2007
N315AW,BOEING,12/6/1990,737-3S3,Fixed Wing Multi-Engine,Turbo-Fan,1987
N315NB,AIRBUS INDUSTRIE,5/22/2000,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2000
N315SW,BOEING,4/20/1992,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1986
N315UA,BOEING,1/21/1988,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1987
N315US,AIRBUS INDUSTRIE,10/21/2004,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1991
N316AT,BOEING,3/28/2007,737-7BD,Fixed Wing Multi-Engine,Turbo-Fan,2007
N316AW,BOEING,1/9/1991,737-3S3,Fixed Wing Multi-Engine,Turbo-Fan,1987
N316NB,AIRBUS INDUSTRIE,6/16/2000,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2000
N316SW,BOEING,4/20/1992,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1986
N316US,AIRBUS INDUSTRIE,10/21/2004,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1991
N317AS,BOEING,3/27/2003,737-990,Fixed Wing Multi-Engine,Turbo-Jet,2003
N317AT,BOEING,3/15/2007,737-7BD,Fixed Wing Multi-Engine,Turbo-Fan,2007
N317CA,BOMBARDIER INC,12/20/2007,CL-600-2C10,Fixed Wing Multi-Engine,Turbo-Fan,2002
N317NB,AIRBUS INDUSTRIE,9/29/2000,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2000
N317US,AIRBUS INDUSTRIE,10/21/2004,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1991
N317WN,BOEING,4/2/1999,737-3Q8,Fixed Wing Multi-Engine,Turbo-Fan,1988
N318AS,BOEING,6/2/2003,737-990,Fixed Wing Multi-Engine,Turbo-Jet,2003
N318AT,BOEING,4/18/2007,737-7BD,Fixed Wing Multi-Engine,Turbo-Fan,2007
N318NB,AIRBUS INDUSTRIE,9/26/2000,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2000
N318SW,BOEING,5/19/2004,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1986
N318UA,BOEING,4/19/1988,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1988
N318US,AIRBUS INDUSTRIE,10/12/2004,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1991
N319AA,BOEING,4/9/2004,767-223,Fixed Wing Multi-Engine,Turbo-Fan,1985
N319AS,BOEING,6/30/2003,737-990,Fixed Wing Multi-Engine,Turbo-Jet,2003
N319NB,AIRBUS INDUSTRIE,10/26/2000,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2000
N319US,AIRBUS INDUSTRIE,9/22/2004,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1991
N320AA,BOEING,4/9/2004,767-223,Fixed Wing Multi-Engine,Turbo-Fan,1985
N320AS,BOEING,10/1/2003,737-990,Fixed Wing Multi-Engine,Turbo-Jet,2003
N320NB,AIRBUS INDUSTRIE,12/19/2000,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2000
N320SW,,,,,,
N320US,AIRBUS INDUSTRIE,9/22/2004,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1991
N321AA,BOEING,5/5/1986,767-223,Fixed Wing Multi-Engine,Turbo-Fan,1986
N321NB,AIRBUS INDUSTRIE,1/26/2001,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2001
N321SW,,,,,,
N321US,AIRBUS INDUSTRIE,1/14/1992,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1992
N322AA,BOEING,5/19/1986,767-223,Fixed Wing Multi-Engine,Turbo-Fan,1986
N322AW,BOEING,6/26/2001,737-3G7,Fixed Wing Multi-Engine,Turbo-Jet,1991
N322NB,AIRBUS INDUSTRIE,2/22/2001,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2001
N322SW,BOEING,1/30/2008,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1987
N322US,AIRBUS INDUSTRIE,1/15/1992,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1992
N323AS,BOEING,2/26/2004,737-990,Fixed Wing Multi-Engine,Turbo-Jet,2004
N323NB,AIRBUS INDUSTRIE,3/15/2001,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2001
N323SW,BOEING,11/12/1991,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1987
N323US,AIRBUS INDUSTRIE,2/3/1992,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1992
N32404,BOEING,7/20/2001,737-924,Fixed Wing Multi-Engine,Turbo-Fan,2001
N324AA,BOEING,9/17/1986,767-223,Fixed Wing Multi-Engine,Turbo-Fan,1986
N324NB,AIRBUS INDUSTRIE,3/22/2001,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2001
N324SW,BOEING,5/19/2004,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1987
N324US,AIRBUS INDUSTRIE,2/11/1992,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1992
N325AA,BOEING,12/24/1986,767-223,Fixed Wing Multi-Engine,Turbo-Fan,1986
N325NB,AIRBUS INDUSTRIE,4/26/2001,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2001
N325SW,BOEING,5/19/2004,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1987
N325UA,BOEING,9/8/1988,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1988
N325US,AIRBUS INDUSTRIE,3/2/1992,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1992
N32626,BOEING,4/14/1996,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1995
N326AT,BOEING,6/20/2007,737-7BD,Fixed Wing Multi-Engine,Turbo-Fan,2007
N326NB,AIRBUS INDUSTRIE,5/22/2001,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2001
N326SW,BOEING,10/14/2004,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1987
N326UA,BOEING,9/11/2007,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1988
N326US,AIRBUS INDUSTRIE,3/4/1992,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1992
N327AA,BOEING,12/10/1999,767-223,Fixed Wing Multi-Engine,Turbo-Fan,1986
N327NB,AIRBUS INDUSTRIE,5/18/2001,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2001
N327NW,AIRBUS INDUSTRIE,4/1/1992,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1992
N327SW,BOEING,10/26/2004,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1987
N327UA,BOEING,6/30/2006,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1988
N328AA,BOEING,4/9/2004,767-223,Fixed Wing Multi-Engine,Turbo-Fan,1986
N328NB,AIRBUS INDUSTRIE,6/14/2001,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2001
N328NW,AIRBUS INDUSTRIE,4/8/1992,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1992
N328SW,BOEING,5/26/1988,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1988
N328UA,BOEING,7/14/2006,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1988
N329AA,BOEING,4/9/2004,767-223,Fixed Wing Multi-Engine,Turbo-Fan,1987
N329AT,BOEING,7/18/2007,737-7BD,Fixed Wing Multi-Engine,Turbo-Fan,2007
N329NB,AIRBUS INDUSTRIE,7/19/2001,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2001
N329NW,AIRBUS INDUSTRIE,5/5/1992,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1992
N329SW,BOEING,4/25/1988,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1988
N329UA,BOEING,7/27/2006,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1988
N330AT,BOEING,7/25/2007,737-7BD,Fixed Wing Multi-Engine,Turbo-Fan,2007
N330NB,AIRBUS INDUSTRIE,7/26/2001,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2001
N330NW,AIRBUS INDUSTRIE,5/7/1992,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1992
N330SW,BOEING,4/13/1988,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1988
N330UA,BOEING,6/8/2006,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1988
N33103,BOEING,6/27/1994,757-224,Fixed Wing Multi-Engine,Turbo-Jet,1994
N33132,BOEING,7/1/1998,757-224,Fixed Wing Multi-Engine,Turbo-Jet,1998
N33182,EMBRAER,4/27/2005,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N331AT,BOEING,8/10/2007,737-7BD,Fixed Wing Multi-Engine,Turbo-Fan,2007
N331CA,BOMBARDIER INC,12/20/2007,CL-600-2C10,Fixed Wing Multi-Engine,Turbo-Fan,2002
N331NW,AIRBUS INDUSTRIE,6/8/1992,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1992
N331SW,BOEING,1/18/2008,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1988
N331UA,BOEING,6/8/2006,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1988
N33203,BOEING,6/22/2000,737-824,Fixed Wing Multi-Engine,Turbo-Fan,2000
N33209,BOEING,9/1/2000,737-824,Fixed Wing Multi-Engine,Turbo-Fan,2000
N3324L,DOUGLAS,12/2/1994,DC-9-32,Fixed Wing Multi-Engine,Turbo-Jet,1967
N33262,BOEING,7/27/2001,737-824,Fixed Wing Multi-Engine,Turbo-Fan,2001
N33264,BOEING,8/14/2001,737-824,Fixed Wing Multi-Engine,Turbo-Fan,2001
N33266,BOEING,8/30/2001,737-824,Fixed Wing Multi-Engine,Turbo-Fan,2001
N33284,BOEING,3/30/2004,737-824,Fixed Wing Multi-Engine,Turbo-Fan,2004
N33286,BOEING,5/24/2004,737-824,Fixed Wing Multi-Engine,Turbo-Fan,2004
N33289,BOEING,7/30/2004,737-824,Fixed Wing Multi-Engine,Turbo-Fan,2004
N33294,BOEING,8/23/2005,737-824,Fixed Wing Multi-Engine,Turbo-Fan,2005
N332AA,BOEING,4/2/1987,767-223,Fixed Wing Multi-Engine,Turbo-Fan,1987
N332AW,BOEING,6/20/2001,737-3B7,Fixed Wing Multi-Engine,Turbo-Fan,1987
N332NB,AIRBUS INDUSTRIE,8/27/2001,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2001
N332NW,AIRBUS INDUSTRIE,6/11/1992,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1992
N332SW,BOEING,5/14/2003,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1988
N332UA,BOEING,7/14/2004,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1988
N333NB,AIRBUS INDUSTRIE,9/24/2001,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2001
N333NW,AIRBUS INDUSTRIE,7/10/1992,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,1992
N333SW,BOEING,3/22/2004,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1988
N333UA,BOEING,7/14/2004,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1988
N334AW,BOEING,12/30/1998,737-3Y0,Fixed Wing Multi-Engine,Turbo-Fan,1987
N334NB,AIRBUS INDUSTRIE,1/18/2002,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2002
N334NW,AIRBUS INDUSTRIE,9/1/1992,A320-212,Fixed Wing Multi-Engine,Turbo-Fan,1992
N334SW,BOEING,6/16/1988,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1988
N334UA,BOEING,12/1/1988,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1988
N335AA,BOEING,12/11/1987,767-223,Fixed Wing Multi-Engine,Turbo-Fan,1987
N335NB,AIRBUS INDUSTRIE,1/24/2002,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2002
N335NW,AIRBUS INDUSTRIE,7/11/2007,A320-212,Fixed Wing Multi-Engine,Turbo-Fan,1992
N335SW,BOEING,6/18/1988,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1988
N335UA,BOEING,12/2/1988,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1988
N33608,BOEING,4/6/1994,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1994
N33637,,,,,,
N336AA,BOEING,12/21/1987,767-223,Fixed Wing Multi-Engine,Turbo-Fan,1987
N336AT,BOEING,2/15/2008,737-7BD,Fixed Wing Multi-Engine,Turbo-Fan,2008
N336NB,AIRBUS INDUSTRIE,2/21/2002,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2002
N336NW,AIRBUS INDUSTRIE,7/12/2007,A320-212,Fixed Wing Multi-Engine,Turbo-Fan,1992
N336SW,BOEING,6/18/1988,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1988
N336UA,BOEING,5/13/2004,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1988
N33714,BOEING,9/29/1998,737-724,Fixed Wing Multi-Engine,Turbo-Jet,1998
N337AT,BOEING,3/18/2008,737-7BD,Fixed Wing Multi-Engine,Turbo-Fan,2008
N337NB,AIRBUS INDUSTRIE,2/25/2002,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2002
N337NW,AIRBUS INDUSTRIE,7/19/2007,A320-212,Fixed Wing Multi-Engine,Turbo-Fan,1992
N337SW,BOEING,3/22/2004,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1988
N337UA,BOEING,5/11/2004,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1988
N338AA,BOEING,1/19/1988,767-223,Fixed Wing Multi-Engine,Turbo-Fan,1987
N338AT,BOEING,5/5/2008,737-7BD,Fixed Wing Multi-Engine,Turbo-Fan,2008
N338NB,AIRBUS,3/8/2002,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2002
N338NW,AIRBUS INDUSTRIE,9/13/2004,A320-212,Fixed Wing Multi-Engine,Turbo-Fan,1992
N338SW,BOEING,3/22/2004,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1988
N338UA,BOEING,5/12/2004,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1988
N339AA,BOEING,1/28/1988,767-223,Fixed Wing Multi-Engine,Turbo-Fan,1988
N339NB,AIRBUS,3/27/2002,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2002
N339NW,AIRBUS INDUSTRIE,7/17/2007,A320-212,Fixed Wing Multi-Engine,Turbo-Fan,1992
N339SW,BOEING,9/26/1998,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1988
N339UA,BOEING,11/29/2007,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1988
N340CA,BOMBARDIER INC,12/28/2007,CL-600-2C10,Fixed Wing Multi-Engine,Turbo-Fan,2002
N340LV,BOEING,8/7/2003,737-3K2,Fixed Wing Multi-Engine,Turbo-Jet,1987
N340NB,AIRBUS,4/4/2002,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2002
N340NW,AIRBUS INDUSTRIE,7/11/2007,A320-212,Fixed Wing Multi-Engine,Turbo-Fan,1992
N340UA,BOEING,11/28/2007,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1988
N34110,EMBRAER,6/25/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N34111,EMBRAER,6/25/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N34131,BOEING,6/10/1998,757-224,Fixed Wing Multi-Engine,Turbo-Jet,1998
N34137,BOEING,11/30/1999,757-224,Fixed Wing Multi-Engine,Turbo-Jet,1999
N341NB,AIRBUS,5/9/2002,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2002
N341NW,AIRBUS INDUSTRIE,7/17/2007,A320-212,Fixed Wing Multi-Engine,Turbo-Fan,1992
N341SW,BOEING,9/26/1998,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1988
N341UA,BOEING,12/2/1988,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1988
N34222,BOEING,12/9/1998,737-824,Fixed Wing Multi-Engine,Turbo-Fan,1998
N34282,BOEING,1/28/2004,737-824,Fixed Wing Multi-Engine,Turbo-Fan,2004
N342AA,,,,,,
N342NB,AIRBUS,5/30/2002,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2002
N342NW,AIRBUS INDUSTRIE,9/14/2004,A320-212,Fixed Wing Multi-Engine,Turbo-Fan,1993
N342SW,BOEING,5/1/1999,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1989
N342UA,BOEING,11/28/1988,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1988
N343AA,SIKORSKY,12/5/2003,S-76A,Rotorcraft,Turbo-Shaft,1979
N343NB,AIRBUS,6/14/2002,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2002
N343NW,AIRBUS INDUSTRIE,7/17/2007,A320-212,Fixed Wing Multi-Engine,Turbo-Fan,1993
N343SW,BOEING,5/3/1999,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1989
N344AA,GULFSTREAM AEROSPACE,10/21/2002,G-IV,Fixed Wing Multi-Engine,Turbo-Fan,1992
N344AT,BOEING,5/19/2008,737-7BD,Fixed Wing Multi-Engine,Turbo-Fan,2008
N344NB,AIRBUS,6/27/2002,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2002
N344NW,AIRBUS INDUSTRIE,7/17/2007,A320-212,Fixed Wing Multi-Engine,Turbo-Fan,1993
N344SW,BOEING,5/3/1999,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1989
N345AA,GULFSTREAM AEROSPACE,10/28/1998,G-IV,Fixed Wing Multi-Engine,Turbo-Fan,1992
N345NW,AIRBUS INDUSTRIE,7/19/2007,A320-212,Fixed Wing Multi-Engine,Turbo-Fan,1993
N345SA,BOEING,6/13/2002,737-3K2,Fixed Wing Multi-Engine,Turbo-Jet,1987
N346AA,,,,,,
N346NB,AIRBUS,8/28/2002,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2002
N346SW,BOEING,4/30/1999,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1989
N346UA,BOEING,1/4/1989,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1988
N347NB,AIRBUS,8/29/2002,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2002
N347NW,AIRBUS INDUSTRIE,7/19/2007,A320-212,Fixed Wing Multi-Engine,Turbo-Fan,1993
N347SW,BOEING,6/7/1989,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1989
N347UA,BOEING,1/3/1989,737-322,Fixed Wing Multi-Engine,Turbo-Fan,1988
N348NB,AIRBUS,9/23/2002,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,2002
N348NW,AIRBUS INDUSTRIE,7/20/2007,A320-212,Fixed Wing Multi-Engine,Turbo-Fan,1993
N348SW,BOEING,6/13/1989,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1989
